20230531T,0.4795818,178.8856,176.1321,0.5170165
20230530T,3.50251,179.5022,176.1347,0.7533589
20230526T,4.73624,177.4431,174.4754,0.488939
20230525T,1.392888,174.1556,171.838,0.03180148
20230524T,-0.43151,172.8597,170.8732,-0.2646252
20230523T,-1.441628,172.6338,171.0013,-0.4886857
20230522T,0.1549177,175.0398,173.4537,0.05016902
20230519T,1.540548,176.6042,174.2781,0.3927337
20230518T,1.806938,176.19,173.8384,0.5851803
20230517T,0.6007147,173.4704,171.6049,0.04540367
20230516T,0.5630741,172.9086,171.3725,-0.1236815
20230515T,0.06545544,173.4762,171.2012,-0.1345958
20230512T,-0.3850222,173.9082,171.5059,-0.07394118
20230511T,0.457799,175.0817,172.9357,0.3803834
20230510T,1.032114,174.7926,173.0211,0.5888149
20230509T,-0.604373,172.9729,170.7905,0.1938621
20230508T,1.462802,174.9346,171.8912,0.7762827
20230505T,3.872311,175.3136,171.6098,1.340136
20230504T,-1.632328,167.6152,164.0365,-0.4404302
20230503T,-0.4315681,169.7957,166.0329,-0.0399843
20230502T,0.1945314,169.825,167.5409,0.1335772
20230501T,1.297315,170.574,168.6625,0.5160026
20230428T,2.234612,171.381,168.5132,0.7758418
20230427T,2.467217,169.4946,166.9255,0.8306079
20230426T,-0.03928185,165.3076,162.6142,-0.3058643
20230425T,-0.5465927,165.325,162.9617,-0.473003
20230424T,-0.05746555,166.4489,164.3429,-0.1644634
20230421T,-1.257018,166.345,163.8697,-0.2664583
20230420T,-0.2980528,168.1682,165.3443,0.170434
20230419T,1.444038,168.7613,166.7159,0.6261404
20230418T,1.343599,167.6997,165.8802,0.569015
20230417T,0.2449617,166.273,163.9538,0.25125
20230414T,1.518658,167.2263,163.8808,0.4850019
20230413T,3.151127,167.2397,164.3844,0.9559447
20230412T,0.2544432,161.7924,159.5371,-0.4220718
20230411T,-0.03811741,162.2385,159.8955,-0.6400736
20230410T,-0.8832188,163.2146,160.6293,-0.5816954
20230406T,0.3468895,166.2575,163.5365,0.1078165
20230405T,-1.438022,165.0619,162.9133,-0.1695066
20230404T,0.5767498,167.2043,164.6014,0.3967361
20230403T,2.203453,167.9736,165.3358,0.9323892
20230331T,2.609238,166.0419,163.5002,1.032835
20230330T,2.670791,163.7081,161.4013,0.7048227
20230329T,2.50893,162.1938,159.9604,0.6038694
20230328T,-1.094126,159.0664,156.2834,-0.328902
20230327T,-0.8998623,159.976,156.9319,-0.1188416
20230324T,0.6548395,162.211,158.9375,0.6895857
20230323T,1.06607,161.8102,157.755,0.6373831
20230322T,-0.03159904,160.7117,156.7605,0.3074055
20230321T,1.969498,161.1106,158.367,1.046311
20230320T,1.26462,159.0909,155.8234,0.8394344
20230317T,1.356254,157.5071,153.5067,0.4286759
20230316T,2.979454,157.8022,153.9585,0.9161557
20230315T,-0.7769022,154.6032,150.9046,0.273904
20230314T,0.9021931,154.9212,150.2292,0.5111513
20230313T,-0.1800213,152.9411,148.4576,0.06675043
20230310T,-1.976584,150.9368,146.9135,-0.6578631
20230309T,-0.6703386,152.194,149.2399,-0.2609882
20230308T,0.2622375,154.1101,152.0422,0.5594164
20230307T,-0.4506254,153.0459,150.2652,0.2994214
20230306T,3.458538,156.1746,152.9455,1.448303
20230303T,2.370011,152.6774,149.3774,1.022957
20230302T,-0.4950848,147.1852,144.217,-0.2998844
20230301T,-1.064728,146.9116,144.3331,-0.6186655
20230228T,0.3344984,148.8211,146.6784,-0.1883198
20230227T,0.866168,149.2607,146.9833,-0.219686
20230224T,-1.601625,147.7513,145.4784,-0.8486167
20230223T,-0.04692268,150.8248,148.1372,-0.2622587
20230222T,-0.7347813,150.1618,147.747,-0.6461574
20230221T,-2.518847,149.8857,147.4593,-1.110758
20230217T,-1.175464,153.9016,151.4252,-0.252758
20230216T,0.4574976,155.3967,152.963,0.02254236
20230215T,1.938824,156.6136,153.5683,0.6832474
20230214T,0.9114399,154.7889,151.4403,0.2777373
20230213T,1.71745,155.0272,152.3428,0.5020288
20230210T,-0.6885834,152.0902,149.7556,-0.1676037
20230209T,-0.9636621,152.9514,149.502,-0.2172595
20230208T,-0.2780733,154.1466,150.7285,0.1894173
20230207T,1.283438,155.8661,152.8338,1.024645
20230206T,-0.04415894,154.5516,149.8508,0.4986093
20230203T,3.693651,156.5001,151.8129,1.78317
20230202T,5.166943,153.5918,149.6915,1.820957
20230201T,1.526073,147.1776,143.8415,0.4733495
20230131T,0.2123528,145.162,143.0077,0.2600766
20230130T,-0.9771128,144.8517,141.7926,-0.131607
20230127T,2.543406,147.5134,144.6976,1.016712
20230126T,2.751722,145.9407,142.6104,0.9590805
20230125T,0.1557436,143.6685,140.0255,0.6567604
20230124T,2.531451,145.1155,140.591,1.226749
20230123T,3.480036,143.4732,139.3088,1.271666
20230120T,0.9103079,139.3881,136.3963,0.8571896
20230119T,-0.5970545,137.3577,134.1511,0.4177919
20230118T,0.867897,137.8156,134.1755,0.3988193
20230117T,2.304409,137.8224,134.7301,0.8112019
20230113T,1.820616,136.5703,132.9791,0.7568401
20230112T,1.567546,135.6801,131.9345,0.6064642
20230111T,2.172505,135.3048,132.3302,1.058427
20230110T,0.5253944,132.8713,129.0862,0.6189196
20230109T,2.062394,134.1147,128.5762,0.8029543
20230106T,1.114387,132.2104,126.6955,0.7596486
20230105T,-1.579181,127.1175,123.4791,-0.6425132
20230104T,-0.4669905,129.4289,124.4394,-0.329548
20230103T,-2.623972,127.6581,123.0713,-1.440091
20221230T,0.48734,131.2099,128.5894,0.03751115
20221229T,0.9807777,131.6847,128.0541,0.05076645
20221228T,-2.585908,127.856,124.6034,-1.729603
20221227T,-1.227705,131.346,128.5275,-0.9238051
20221223T,-0.9466581,133.5581,129.9922,-0.5491207
20221222T,-1.226287,134.2421,130.0523,-0.7797315
20221221T,1.91288,137.5059,133.4033,0.1183441
20221220T,-1.711908,133.9675,130.135,-1.171458
20221219T,-3.302745,134.0079,130.3317,-1.720324
20221216T,-4.073084,136.86,132.2699,-1.719079
20221215T,-5.539171,139.4349,134.5887,-1.887316
20221214T,-1.206537,146.1117,141.3353,-0.1940024
20221213T,1.688408,148.6122,144.0371,0.5674211
20221212T,1.149362,146.2207,142.5485,0.3255327
20221209T,0.503952,144.2045,140.1046,-0.2874111
20221208T,0.007395744,144.8555,140.804,-0.1732729
20221207T,-3.326411,143.687,139.0991,-1.019898
20221206T,-2.723002,145.7072,141.203,-1.09721
20221205T,0.03372002,149.1641,145.7831,-0.1492583
20221202T,-0.4830627,150.348,146.3684,0.1573842
20221201T,2.690309,152.6185,146.238,0.6019176
20221130T,3.429862,150.7574,144.2871,0.6121458
20221129T,-2.417045,143.0269,139.8656,-1.526919
20221128T,-2.637298,145.8371,142.9123,-1.254663
20221125T,-0.7856216,149.8846,147.1338,-0.434322
